Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
2.781854432882693,0.91807066636741,0.2065608924074354,4.199949336806269,25.0,5.732472578659234,38.0,0.0136808008150996,-0.0087494054600793,-0.586878215185159,41289
1.284370892114142,1.02614420417753,0.0246699946296613,4.18092187199941,8.0,11.64955258386136,42.0,-0.0675215258910773,-0.0082765215484701,-0.9506600107406618,51024
0.4034160984024926,1.4549904707436143,0.0052779757427957,4.793749885929528,8.0,14.38836238193926,14.0,-0.0530149598569894,-0.0137402983298021,-0.9894440485144078,49478
3.1606923955672883,0.4461148479415592,0.0052779757427957,4.793749885929528,8.0,14.38836238193926,14.0,-0.0530149598569894,-0.0137402983298021,-0.9894440485144078,45014
2.545570121273838,1.6169859990091349,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,53383
1.9566052157200264,0.6984375663582701,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,50423
3.5018169197301843,1.646525051392449,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,38120
1.0967088583023663,0.3566570744756637,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,49587
2.5880733982351782,0.5673204997380834,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,45701
2.715981630599636,0.5383941837623577,0.0039703676642537,4.287505030767716,11.0,7.442403019854328,5.0,-0.0459264626542045,-0.0053493770992789,-0.992059264671484,66359
0.646595277114411,1.1089567433172811,0.0136319545310902,2.585509520312758,14.0,3.601511172335113,33.0,0.0304575742073397,0.0286624461695156,-0.972736090937824,32715
0.7458665515096973,0.512550803027985,0.0007095934148182,0.5206196115301772,16.0,1.5261493127880967,38.0,-0.0081538715040148,0.0020043343572116,-0.9985808131703762,28474
1.2954242679541323,0.6796244993487207,0.0043502744018263,0.46209375,10.0,1.392645223752282,19.0,0.01511600099338,0.0074175614891267,-0.9912994511963537,29735
1.9636366025665664,1.4286589574471629,0.0016933657931444,2.0999626744888915,17.0,2.967318227620122,5.0,-0.0235831889162406,-0.0159810879522758,-0.9966132684137122,56909
3.392870562727092,0.8768826887703555,0.0022011606342203,1.7710237684761223,20.0,2.4919032047593825,24.0,-0.0373104913524725,0.0060534865719426,-0.9955976787315612,43691
0.8866288834189133,1.4134195905262277,0.0026960750212832,4.4384330045637785,8.0,6.424925365556229,5.0,-0.0227436770679594,-0.016363203394254,-0.99460784995744,52067
1.6463279745718458,1.608355915164423,0.0041548548523506,4.8545191319757945,10.0,14.514771120369756,56.0,-0.0415095558559157,-0.0023291534560906,-0.9916902902953644,33214
4.295250560905532,0.3272247023707162,0.3166498695920008,2.9106841147218305,8.0,5.495751606275956,61.0,0.0007057307471175,-0.0002138040188697,-0.3667002608159869,46136
2.266186069075063,0.3165892142090057,0.075666328742739,2.856349878200727,17.0,6.122324561184778,33.0,0.0014812547954462,0.0019360012516755,-0.8486673425145513,35298
3.261756727008999,1.7544612179952843,0.016583053502589,3.243153528689352,11.0,5.389178033171373,5.0,-0.0196105545752072,0.0010541849359423,-0.9668338929948268,43532
3.2991055024387115,1.869772131902792,0.0051320887875969,3.2267833069340384,8.0,5.369377084616218,5.0,-0.0282814068794932,0.006641248728088,-0.9897358224248176,43513
4.593750652829595,0.9789802920655564,0.0055567667613899,4.071353027263319,13.0,12.204615750640125,19.0,-0.0113412869829953,-0.0006096927218443,-0.9888864664772062,51549
2.8147915303822,1.5413657139886956,0.0088297694359497,4.925,8.0,14.024538857309452,70.0,-0.0755184219009001,-0.0005020425736121,-0.9823404611280578,59496
3.3780895142964087,1.0417179173000952,0.0129153539561175,1.7851232975649094,23.0,2.4970030775295826,33.0,-0.0518896954764454,-0.0058520283072704,-0.9741692920877724,47962
2.3280750723176857,1.379566149299611,0.0014355946645872,2.020071085004863,20.0,5.254875970309017,42.0,-0.0148304088722986,0.0104505229915304,-0.997128810670822,52080
1.4699146643930892,0.3690741104880484,0.0085240179933594,4.092874582273559,23.0,7.741552208007797,24.0,-0.0044476419028965,0.001688050216992,-0.9829519640132578,58857
3.565800847468965,1.2712968239287046,0.0076024297802403,1.7329517826497003,17.0,2.440758004942478,24.0,-0.0611535185803575,0.0119819826667032,-0.9847951404395128,48740
3.0202669317813493,0.7172678160857142,0.0004924326869093,4.084604545106101,13.0,12.255,56.0,-0.0062740004055798,0.0016783106941841,-0.9990151346261712,52564
3.555004083092812,0.3629604050952777,0.1683982245536011,1.7449301052030532,23.0,2.4473028096044342,42.0,-0.0104986217332962,-0.0022560006867636,-0.6632035508927762,44481
4.946944606045872,1.5404101697918775,0.0066821547630991,3.925688655320613,24.0,11.774877947486418,74.0,-0.0745892774092626,-0.0097756982062601,-0.9866356904738224,39651
2.1911660112095066,1.7973299751109817,0.001399257523489,3.6585962433830552,11.0,7.759430353588302,5.0,-0.0195232509845595,0.0012910345006927,-0.9972014849530356,48519
3.674666644686904,1.3060875391903135,0.0037030029855654,1.7096590575675024,14.0,2.409781508298274,33.0,-0.0572634991342688,0.0114191824424043,-0.9925939940288748,46587
0.4490150862002429,0.9094266333943438,0.0029871874754694,3.707063811546874,14.0,7.984840857953602,70.0,-0.0010676317432208,-0.0020485765266565,-0.9940256250490892,42582
3.7077308060128766,0.6840072696183946,6.250063525869987e-05,1.713989162959836,16.0,3.09007899546908,19.0,-0.0035753822131175,0.003113366599817,-0.999874998729496,50236
1.0976844881358234,1.0571547867834534,0.0098352708756789,1.4477105155883758,17.0,2.3984317048557195,61.0,-0.0876133909633212,-0.0260257890921824,-0.9803294582486544,50269
2.228989417544473,0.3921657908985639,4.4882106502108776e-05,2.8722916211695138,20.0,6.150106759416813,33.0,0.001650468129284,-4.99269726008378e-05,-0.999910235787052,36619
0.9538177772482208,1.0288562363074545,0.0062327240510456,1.4841233175854076,10.0,4.41,10.0,-0.0653258518200057,0.012170117857544,-0.9875345518979044,51386
3.4342558778942944,1.0199392604389417,0.0510615513095105,1.7633767536790912,23.0,2.479470589236527,33.0,-0.0481997162077251,0.0041243757542962,-0.8978768973809756,42167
3.876531222868277,1.3670820062458944,0.008671455303039,3.038454678973866,14.0,5.045157075143181,42.0,-0.0393756060965646,-0.0079470459341138,-0.9826570893939156,61612
3.5684817035738963,1.6014158619185346,0.0001691838913991,3.824418844532189,8.0,10.065247591735025,61.0,-0.0129156327663154,1.7948218824969282e-05,-0.9996616322171634,64390
3.9830182151436895,1.454608702041544,0.0006510336759435,4.99798404664978,10.0,14.96751237440259,28.0,0.0076848830730212,-0.0170122182295468,-0.9986979326480968,32324
0.345111949641463,0.7648677856041154,0.0979446973052061,3.779907778285677,14.0,7.055601287770187,14.0,-0.0569421202807369,0.0162617936443749,-0.8041106053895839,32056
1.0502167668061095,1.6290839647545965,0.0011743860286014,3.36584214178892,13.0,10.05936517523464,56.0,-0.0248332339346262,0.0015552564776976,-0.9976512279427864,47425
2.078022772674957,1.1168720664996554,0.0467226462686495,0.4166930444274586,7.0,0.4410000000000003,38.0,-0.0389138558603516,-5.407968868679537e-05,-0.9065547074626968,31185
0.5759464687901837,0.8394157949222599,0.0002224688207943,2.593430428480964,14.0,3.6499039459682914,14.0,-0.0023276912867929,-0.0073480717143878,-0.9995550623583842,38764
0.8029863892734773,1.2846568094717674,0.0278031659109694,2.487682241184888,17.0,6.515597414469473,51.0,-0.0501509043848741,-0.008540197991791,-0.944393668177998,28378
4.440860379092854,1.2458278227196051,0.0062659663397623,2.867736263945966,11.0,4.764940105096565,24.0,-0.0427530080376262,0.0042703653254111,-0.9874680673204662,60366
4.68536014261603,1.2123788222829894,0.0013391517624636,4.036931643419258,17.0,9.61264049102249,33.0,-0.0343720219937387,-0.0046337393934496,-0.997321696475043,50355
2.728065897027826,1.205837755705216,0.0662767158670775,0.38740625,7.0,0.4045645599618088,56.0,-0.037281801677876,8.696923889226459e-05,-0.8674465682658817,31309
4.709384316891704,1.4217304011148026,0.0111397732914537,4.011327184729326,20.0,9.586747615545756,70.0,-0.0527618308010012,0.007334734443388,-0.9777204534170262,50626
3.832061690725996,0.4997081232267519,0.0022758885049801,1.6950877727203966,22.0,5.085,28.0,-0.0164052896758384,-0.0010649120522277,-0.9954482229900342,56704
3.949688007490918,1.4842723953100438,0.0122965863838169,2.991909938294121,11.0,5.00382768819823,24.0,-0.0420894850258058,0.0023019366058237,-0.975406827232359,60878
0.7647767250695577,0.4766169762700246,0.021185541842325,0.5174066435852033,22.0,1.5284029726456467,28.0,-0.0011417833648315,0.004865499194948,-0.9576289163153404,32088
0.5932852533250317,1.59406898591053,0.001185985786558,3.607824406210044,17.0,7.717107994424003,70.0,-0.0315625176801737,-0.0027953941767266,-0.997628028426889,46140
4.6978925843511865,1.0201037456184143,0.1925445496061304,2.7725625000000003,7.0,8.364218039329664,19.0,-0.0011042772136201,0.0035411943767793,-0.6149109007877271,40880
2.804282186254596,1.4685489733333517,0.0049839569059942,4.941082489234753,8.0,11.77415376289797,14.0,-0.0670681064492217,0.0026828741962423,-0.9900320861880024,56813
2.517533575140346,0.9653525087413718,0.0027643577186271,2.752559312792688,11.0,5.91523218696861,24.0,0.0050323439323944,0.0122933640561556,-0.994471284562744,44258
1.8994381401060068,1.5904025316902108,0.0012698196812204,2.116191456846364,20.0,2.9948669199434157,5.0,-0.0083097693719888,-0.0221848016130209,-0.9974603606375584,55087
2.079306626656232,1.5289950403488342,0.0009226731974998,2.066290956895407,17.0,2.925182168237317,5.0,-0.0231107811043778,-0.0161650026962333,-0.998154653604994,59624
1.7748855988425922,0.6476238974362649,0.0092536000155413,3.9172545369488168,13.0,11.76,28.0,-0.0508278035662729,-0.0085065302186717,-0.98149279996891,46004
2.352555856236615,1.8668842341293757,0.0008540823312918,4.390782761215504,7.0,9.97303396069305,65.0,0.0240909522236097,0.0132269017436297,-0.99829183533738,50529
4.957157628913258,1.3187567215784717,0.0122920138301613,3.924744854367509,11.0,9.35418860313148,61.0,-0.0678501857061617,0.0057374407358029,-0.9754159723396778,38784
2.106884961968479,0.8250109965228475,0.0041477240384261,2.9055948784791146,20.0,6.250704069101214,42.0,-0.0107898664837421,-0.0029501938823982,-0.99170455192311,40445
3.595012529975937,0.6928105342041885,0.0236416582860379,1.74,17.0,2.434045799197031,70.0,-0.0377385247268213,0.0014487240593765,-0.952716683427866,48286
1.4023716070542225,0.4283525177734071,0.0286139593888524,4.14,17.0,7.813613063557425,42.0,0.0063963986935286,-0.0057615879613908,-0.9427720812222596,52314
2.082656502812948,1.583749763306878,0.000810316063001,2.064369827573817,17.0,2.923568033123991,5.0,-0.022246326133881,-0.0161736429405856,-0.998379367874,47157
3.415636333659988,1.4979602528524725,0.009196414805028,0.3583653590309413,7.0,1.064744174801472,28.0,0.0408349027068915,-0.0135985783386365,-0.981607170389949,33725
4.275260429782528,1.062573742474954,0.0051774348037599,2.910827905636705,11.0,4.852967228487104,24.0,-0.0504717446680504,0.0031645524534217,-0.9896451303924768,60280
0.7599367201935717,1.726551130344134,0.0012707531311716,4.477054084108215,11.0,8.485685789368658,70.0,-0.0297815495073339,-0.0023816789195786,-0.997458493737672,59297
1.407261870472272,1.4288766321623536,0.0043537986908749,1.3518151669203076,13.0,4.08881239370194,28.0,-0.0554896476662704,0.0144622742327571,-0.9912924026182378,42727
3.3499636957205245,1.2124603604109805,0.0562715625895806,3.9250000000000007,25.0,8.904843764901162,10.0,-0.0571895367806933,0.001210827870339,-0.8874568748208386,55447
2.382354426616964,0.9327950890556352,0.0018673844378541,2.799856286817189,11.0,6.0170393226323,14.0,-0.0005686480992943,0.0086367705899894,-0.996265231124299,46623
0.7389253138055258,1.569882725170836,0.0115025272251737,2.5030494728816826,7.0,5.550782963484575,10.0,0.0415416689438925,0.045734955187943,-0.9769949455496504,32067
3.7248530214790185,1.731727497094484,0.0030800747421394,0.3501140194227835,16.0,1.02,19.0,0.0281925834665812,0.024146710284337,-0.9938398505157344,26338
1.0103018736808456,1.4203913214517228,0.0087913085882131,4.363269079611343,8.0,6.290114011835094,5.0,-0.0267076720079185,-0.0160953272304191,-0.9824173828235752,42529
4.220764202186837,0.459581337579161,0.1009134928041927,2.931151949869184,14.0,4.8863205811210895,51.0,-0.0175145066272187,0.0004942826480273,-0.7981730143915957,50736
0.8605714864149977,0.8064872320596351,0.0082309068295041,1.4795420279618496,14.0,2.494026857704991,14.0,-0.0569413398881392,0.0130882244460816,-0.983538186341021,46293
3.042257796964309,1.633322675622405,0.0042765893686919,2.585531884188224,8.0,5.539805602992385,33.0,0.0356400899336774,-0.0192963723265991,-0.9914468212626288,64278
2.1303764558393743,0.6860636691372177,0.0010626773850103,2.9034937293590946,11.0,6.219168363259648,14.0,-0.0058185064532427,0.0019557348887902,-0.9978746452299664,33486
0.9305411799642962,0.7248812344529897,0.0013680873359734,0.47953125,13.0,1.480256508999752,10.0,-0.0082705500922624,-0.0033009198427504,-0.9972638253280558,30691
1.8338358578997025,1.1960249994130816,0.0045654251213079,3.886071644546375,14.0,7.328218078117347,42.0,-0.0601506486284665,-0.0160116064518859,-0.9908691497573988,49495
3.224013898414007,1.5767047717950815,0.0169005899625188,0.35791407623923,7.0,0.378,10.0,-0.051492615869658,-0.0002759281401017,-0.966198820074969,26726
1.687790599870834,0.5286103168483687,0.0024186164356672,3.9638945058402526,14.0,7.497096326161503,61.0,-0.0175799044849801,-0.0021424972330823,-0.9951627671286696,51414
3.7053938081926088,1.6602774145699606,0.0164725505131508,0.34284375,7.0,1.0332498033873103,19.0,0.0457409703996083,-0.0050255813548518,-0.9670548989736778,36740
3.385571401949953,1.684733025567147,0.0166469671346045,3.2008191279888085,11.0,5.315027285956987,5.0,-0.0242313702603748,-0.0007497982142482,-0.9667060657307938,43609
0.4370506205434987,0.8233379167627609,0.0016221023434404,2.6613332261807514,20.0,3.745789601274614,42.0,0.0273236181637177,-0.0174613434381291,-0.9967557953131077,42059
1.629223538853361,0.3237622218963555,0.0254228979231472,4.00534336847237,17.0,6.681792902913414,51.0,-0.0226092833384534,-0.0018309960847724,-0.9491542041537214,59683
4.538245188395658,1.739763479171879,0.003698693300107,0.3067359247859373,10.0,0.945,28.0,0.0084163879052458,0.02075803501886,-0.9926026133997972,33630
3.928598012761852,0.6989145556891246,0.015275103683028,1.6812427717839789,14.0,4.36591534310669,24.0,-0.030321264307529,0.0055889862034226,-0.9694497926339666,55237
0.4366061245106953,1.2457792814762256,0.0021144796329336,3.703195026301852,17.0,7.974476024365648,61.0,0.0008584114987031,-0.0020656219285093,-0.9957710407341428,40508
2.7047811564906072,1.68784964307786,0.0586629279975556,4.985,5.0,13.38966164992381,5.0,-0.0349438532585815,0.0018634938683749,-0.8826741440048944,49532
3.694782428556963,1.5336793556915451,0.001290883003127,3.0750941898159136,11.0,1.7127166251892996,33.0,-0.0279393391195551,-0.0008613111287361,-0.9974182339937376,69742
2.0662626364962065,0.4030240804416785,0.1285016371371392,2.935760822102078,19.0,0.4309301911432811,47.0,-0.015181711038045,0.0009295958839196,-0.742996725725724,26150
